Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Actors,Production Company,director_movie_nominated
The Last Picture Show,Stephen J. Friedman,Nominee,1971,118,"Drama,Romance",8.0,"44,843",R,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cloris Leachman, Cybill Shepherd, Ben Johnson, Ellen Burstyn, Eileen Brennan, Barclay Doyle, Clu Galager, Joye Hash, Sharon Taggart, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Tom Martin, Antonia Bogdanovich, Jessie Lee Fulton, Gary Brockette, Helena Humann, Clu Gulager, Loyd Catlett, Robert Glenn, John Hillerman, Janice O'Malley, Floyd Mahaney, Kimberly Hyde, Noble Willingham, Marjory Jay, Joyce Hash, Pamela Kelier, Gordon Hurst, Sam Bottoms, Mike Hosford, Faye Jordan, Charlie Seybert, Grover Lewis, Rebecca Ulrick, Merrill Shepherd, Buddy Wood, Kenny Wood, Leon Addison Brown, Bobby McGriff, Jack Mueller, Robert Arnold, Frank Marshall, Otis Elmore, Charles Salmon, George Gaulden, Will Morris Hannis",Columbia Pictures,1
The Godfather,Albert S. Ruddy,Winner,1972,175,"Crime,Drama",9.2,"1,697,396",R,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Diane Keaton, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Richard S. Castellano, Al Martino, Morgana King, Lenny Montana, Salvatore Corsitto, Richard Bright, Alex Rocco, Tony Giorgio, Vito Scotti, Tere Livrano, Victor Rendina, Jeannie Linero, Julie Gregg, Ardell Sheridan, Simonetta Stefanelli, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, John Martino, Carmine Coppola, Sofia Coppola, Joe Spinell, Carlo Savina",Paramount Pictures,3
The Conversation,Francis Ford Coppola,Nominee,1974,113,"Drama,Mystery,Thriller",7.8,"105,312",PG,Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest, Cindy Williams, Harrison Ford, Robert Duvall, Timothy Carey, Michael Higgins, Elizabeth MacRae, Teri Garr, Mark Wheeler, Robert Shields, Phoebe Alexander",Paramount Pictures,3
Apocalypse Now,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",Nominee,1979,147,"Drama,Mystery,War",8.4,"627,726",R,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Laurence Fishburne, Sam Bottoms, Dennis Hopper, Harrison Ford, Scott Glenn, Albert Hall, G.D. Spradlin, Bill Graham, Cynthia Wood, Cyndi Wood, Colleen Camp, George Canters, Linda Carpenter, Jerry Ziesmer, Bo Byers, James Keane, Kerry Rossall, Ron McQueen, Tom Mason, Jack Thibeau, Glenn Walken, George Cantero, Damien Leake, Herb Rice, William Upton, Larry Carney, Marc Coppola, Daniel Kiewit, R. Lee Ermey, Father Elias, Jerry Ross, Dick White, Francis Ford Coppola, Vittorio Storaro, Eleanor Coppola",United Artists,3
Cabaret,Cy Feuer,Nominee,1972,124,"Drama,Music,Musical",7.8,"51,698",PG,Bob Fosse,"Liza Minnelli, Joel Grey, Michael York, Marisa Berenson, Helmut Griem, Fritz Wepper, Elisabeth Neumann-Viertel, Sigrid Von Richtofen, George Hartmann, Helen Vita, Gerd Vespermann, Ralf Wolter, Georg Hartmann, Ricky Renee, Estrongo Nachama, Kathryn Doby, Inge Jaeger, Angelika Koch, Helen Velkovorska, Gitta Schmidt, Louise Quick",20th Century Fox,2
Lenny,Marvin Worth,Nominee,1974,111,"Biography,Drama",7.6,"15,444",R,Bob Fosse,"Dustin Hoffman, Valerie Perrine, Jan Miner, Stanley Beck, Rashel Novikoff, Gary Morton, Guy Rennie, Frankie Man, Mark Harris, Lee Sandman, Susan Malnick, Martin Begley, Phil Philbin, Don Newsome, Ted Sorrell, Clarence Thomas, Robert Parsons, Mike Murphy, Bob Collins, Buddy Boylan, Mickey Gatlin, George DeWitt, Judy LaScala, Monroe Myers, Glenn Wilder, Bruce McLaughlin, Frank Orsatti, Michelle De Young, Allison Goldstein, Bridghid Glass, Jack Nagle, Michele Yonge, Kathie Witt, Monroe Meyers",20th Century Fox,2
Deliverance,John Boorman,Nominee,1972,109,"Adventure,Drama,Thriller",7.7,"102,934",R,John Boorman,"Burt Reynolds, Jon Voight, James Dickey, Ned Beatty, Ronny Cox, Ed Ramey, Billy Redden, Seamon Glass, Randall Deal, Bill McKinney, Herbert 'Cowboy' Coward, Lewis Crone, James Dickey, Ken Keener, Johnny Popwell Sr., Ed O'Neill, John Fowler, John F. Fowler, Macon McCalman, Kathy Rickman, Louise Coldren, Pete Ware, Herbert Coward, Hoyt J. Pollard, Belinda Beatty, Charley Boorman",Warner Brothers Pictures,1
American Graffiti,Francis Ford Coppola and Gary Kurtz,Nominee,1973,110,"Comedy,Drama",7.4,"85,117",PG,George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Cindy Williams, Harrison Ford, Suzanne Somers, Flash Cadillac & the Continental Kids, Charles Martin Smith, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Kay Lenz, Kathleen Quinlan, Tim Crowley, Terence McGovern, Jan Wilson, John Brent, Caprice Schmidt, Jana Bellan, Joe Spano, Charles Dorsett, Christopher Pray, Susan Richardson, Donna Wehr, Al Nalbandian, Jim Bohan, Ron Vincent, Fred Ross, Jody Carlson, Debra Scott, Cam Whitman, John Bracci, Debbie Celiz, Manuel Padilla, Lynne Marie Stewart, Ed Greenberg, Gordon Analla, Lisa Herman, Debralee Scott, Chuck Dorsett, Stephen Knox, Herby and the Heartbeats, Bob Pasaak, Terry McGovern, Joseph Miksak, George Meyer, William M. Niven, James Cranna, Del Close, Charles A. Murphy, Jan Dunn, Johnny Weissmuller Jr., Scott Beach, Albert Nalbandian",Universal Pictures,1
Cries and Whispers,Ingmar Bergman,Nominee,1972,91,Drama,8.1,"32,122",R,Ingmar Bergman,"Liv Ullmann, Ingrid Thulin, Harriet Andersson, Erland Josephson, Anders Ek, Georg Arlin, George Arlin, Henning Moritzen, Kary Sylway, Linn Ullmann, Kari Sylwan, Lars-Owe Carlberg, Rosanna Mariano, Inga Gill, Lena Bergman, Monika Priede",Criterion Collection,1
A Touch of Class,Melvin Frank,Nominee,1973,106,"Comedy,Romance",6.5,"2,991",PG,Melvin Frank,"Glenda Jackson, George Segal, Paul Sorvino, K Callan, Hildegard Neil, Cec Linder, Mary Barclay, Michael Elwyn, Nadim Sawalha, Ian Thompson, Eve Karpf, David de Keyser, Gaye Brown, Samantha Weyson, Michael McVey, Edward Kemp, Lisa Vanderpump, Donald Hewlett, John Sterland, David Healy",Media Home Entertainment,1
Chinatown,Robert Evans,Nominee,1974,130,"Drama,Mystery,Thriller",8.2,"308,349",R,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, Diane Ladd, John Hillerman, Roman Polanski, Darrell Zwerling, Roy Jenson, Richard Bakalyan, Joe Mantell, Bruce Glover, Nandu Hinds, James O'Rear, James Hong, Beulah Quo, Jerry Fujikawa, Belinda Palmer, Roy Roberts, Noble Willingham, Elliott Montgomery, Rance Howard, Jim Burk, George Justin, Doc Erickson, Fritzi Burr, Charles Knapp, Claudio Martinez, Frederico Roberto, Allan Warnick, Burt Young, Elizabeth Harding, John Rogers, Cecil Elliott, Paul Jenkins, James O'Reare, Lee de Broux, Bob Golden, John Holland, Jesse Vint, Jim Burke, Denny Arnold",Paramount Pictures,3
Tess,Claude Berri and Timothy Burrill,Nominee,1979,186,"Drama,Romance",7.3,"15,999",PG,Roman Polanski,"Nastassja Kinski, Leigh Lawson, Peter Firth, Tony Church, John Collin, David Markham, Rosemary Martin, Richard Pearson, Carolyn Pickles, Pascale de Boysson, John Bett, Dicken Ashworth, Tom Chadbon, John Barrett, Sylvia Coleridge, Caroline Embling, Arielle Dombasle, Fred Bryant, Keith Buckley, Brigid Eric Bates, Jeanne Biras, Peter Benson, Josine Comellas, Forbes Collins, Patsy Smart, Graham Weston, Lesley Dunlop, Jimmy Gardner, John Gill, Suzanna Hamilton, John Moore (III), Patsy Rowlands, Jacob Weizbluth, Marilyne Even",Criterion Collection,3
The Pianist,"Roman Polanski, Robert Benmussa, and Alain Sarde",Nominee,2002,150,"Biography,Drama,Music",8.5,"766,841",R,Roman Polanski,"Adrien Brody, Emilia Fox, Thomas Kretschmann, Micha? ?ebrowski, Ed Stoppard, Maureen Lipman, Frank Finlay, Jessica Kate Meyer, Julia Rayner, Ruth Platt, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucie Skeaping, Roddy Skeaping, Ben Harlan, Thomas Lawinky, Joachim Paul Assböck, Roy Smiles, Paul Bradley, Daniel Caltagirone, Andrzej Blumenfeld, Darian Wawer, Zbigniew Zamachowski, Lejb Fogelman, Detlev Von Wangenheim, Popek, Zofia Czerwinska, Emilio Fernandez, Udo Kroschwald, Uwe Rathsam, Joanna Brodzik, Katarzyna Bargielowska, Maja Ostaszewska, John Bennett, Cyril Shaps, Wojciech Smolarz, Lech Mackiewicz, Frank-Michael Köbe, Torsten Flach, Peter Rappengluck, Ronan Vibert, Krzysztof Pieczynski, Katarzyna Figura, Valentine Pelka, Andrew Tiernan, Tom Strauss, Cezary Kosinski",Focus Features,3
The Towering Inferno,Irwin Allen,Nominee,1974,165,"Action,Drama,Thriller",7.0,"41,582",PG,"John Guillermin, Irwin Allen","Steve McQueen, Paul Newman, William Holden, Fred Astaire, Faye Dunaway, Susan Blakely, Richard Chamberlain, Jennifer Jones, O.J. Simpson, Robert Vaughn, Robert Wagner, Susan Flannery, Sheila Mathews, Norman Burton, Jack Collins, Don Gordon, Felton Perry, Gregory Sierra, Ernie F. Orsatti, Carol McEvoy, Mike Lookinland, Carlena Gower, Olan Soule, John Crawford, Dabney Coleman, Malcolm Atterbury, Maureen McGovern, Norman Grabowski",20th Century Fox,1
One Flew Over the Cuckoo's Nest,Michael Douglas and Saul Zaentz,Winner,1975,133,Drama,8.7,"950,833",R,Milos Forman,"Jack Nicholson, Louise Fletcher, William Redfield, Will Sampson, Danny DeVito, Christopher Lloyd, Brad Dourif, Michael Berryman, Peter Brocco, Dean R. Brooks, Scatman Crothers, Mwako Cumbuka, William Duell, Josip Elic, Lan Fendors, Nathan George, Alonzo Brown Jr., Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Dwight Marfield, Ted Markland, Sidney Lassick, Louisa Moritz, Phil Roth, Mimi Sarkisian, Vincent Schiavelli, Paul Lambert, Marya Small, Delos V. Smith, Tim Welch, Tom McCall",United Artists,2
Amadeus,Saul Zaentz,Winner,1984,160,"Biography,Drama,History",8.3,"381,101",R,Milos Forman,"Tom Hulce, F. Murray Abraham, Elizabeth Berridge, Simon Callow, Roy Dotrice, Christine Ebersole, Jeffrey Jones, Charles Kay, Lisbeth Bartlett, Kenny Baker, Barbara Byrne, Barbara Bryne, Martin Cavani, Roderick Cook, Milan Demjanenko, Peter DiGesu, Richard Edward Frank, Patrick Hines, Nicholas Kepros, Philip Lenkowsky, Herman Meckler, Jonathan Moore, Cynthia Nixon, Brian Pettifer, Vincent Schiavelli, Douglas Seale, Miroslav Sekera, Gil Amelio, Kenneth McMillan, John J. Strauss, Karl-Heinz Teuber, Dana Vávrová, Neville Marriner",Warner Brothers Pictures,2
Dog Day Afternoon,Martin Bregman and Martin Elfand,Nominee,1975,125,"Biography,Crime,Drama",8.0,"245,162",R,Sidney Lumet,"Al Pacino, John Cazale, Charles Durning, Sully Boyar, Chris Sarandon, Penelope Allen, James Broderick, Carol Kane, Beulah Garrick, Sandra Kazan, Marcia Jean Kurtz, Amy Levitt, John Marriott, Estelle Omens, Todd Everett, Gary Springer, Lance Henriksen, Judith Malina, Dominic Chianese, Marcia Haufrecht, Susan Peretz, Floyd Levine, Carmine Foresta, William Bogert, Ron Cummins, Chu Chu Malave, Jay Gerber, Philip Charles MacKenzie, Chu Chu Maleve, Lionel Pina, Frank Piazza, Thomas Murphy, Ed Metzger, James Bulleit, Robert Costanzo",Warner Brothers Pictures,3
Network,Howard Gottfried,Nominee,1976,121,Drama,8.1,"151,780",R,Sidney Lumet,"Peter Finch, Faye Dunaway, William Holden, Robert Duvall, Wesley Addy, Ned Beatty, Beatrice Straight, Arthur Burghardt, Bill Burrows, John F. Carpenter, Jordan Charney, Kathy Cronkite, Ed Crowley, Jerome Dempsey, Conchata Ferrell, Gene Gross, Stanley Grover, Cindy Grover, Darryl Hickman, Mitchell Jason, Paul Jenkins, Ken Kercheval, Kenneth Kimmins, Lynn Klugman, Carolyn Krigbaum, Zane Lasky, Michael Lombard, Ken Kimmins, Pirie MacDonald, Russ Petranto, Bernie Pollack, Roy Poole, William Prince, Sasha von Scherler, Lane Smith, Theodore Sorel, Fred Stuthman, Todd Everett, Cameron Thomas, Marlene Warfield, Lance Henriksen, Lydia Wilen, Michael Lipton, Lee Richardson",MGM,3
The Verdict,Richard D. Zanuck and David Brown,Nominee,1982,129,Drama,7.7,"37,826",R,Sidney Lumet,"Paul Newman, James Mason, Jack Warden, Charlotte Rampling, Milo O'Shea, Lindsay Crouse, Edward Binns, Julie Bovasso, Roxanne Hart, James Handy, Joe Seneca, Lewis J. Stadlen, Kent Broadhurst, Colin Stinton, Burtt Harris, Joy Todd, Scott Rhyne, Susan Benenson, Evelyn Moore, Juanita Fleming, Jack Collard, Ralph Douglas, Gregor Roy, John Blood, Dick McGoldrick, Edward Mason, Patty O'Brien, Maggie Task, Joseph Bergman, Tony La Fortezza, Herbert Rubens, J.P. Foley, Leib Lensky, Bruce Willis, H. Clay Dear, J.J. Clark, Greg Doucette, Marvin Beck, Herb Peterson, Wesley Addy",20th Century Fox,3
Jaws,Richard D. Zanuck and David Brown,Nominee,1975,124,"Adventure,Thriller",8.0,"563,056",PG,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Chris Rebello, Jay Mello, Ted Grossman, Lee Fierro, Jeffrey Voorhees, Craig Kingsbury, Robert W. Chambers, Edward Chalmers Jr., Dr. Robert Nevin, Cyprian R. Dube, Robert Martin Carroll, Donald Poole, Alfred Wilde, Peter Benchley, Allison Caine",Universal Pictures,8
Raiders of the Lost Ark,Frank Marshall,Nominee,1981,115,"Action,Adventure",8.4,"914,188",PG,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler, Ronald Lacey, John Rhys-Davies, Denholm Elliott, Anthony Higgins, Alfred Molina, Vic Tablian, Don Fellows, William Hootkins, Fred Sorenson, Bill Reimbold, Patrick Durkin, Matthew Scurfield, Malcolm Weaver, Sonny Caldinez, Anthony Chinn, Pat Roach, Christopher Frederick, Tutte Lemkow, Ishaq Bux, Kiran Shah, Souad Messaoudi, Terry Richards, Steve Hanson, Frank Marshall, Martin Kreidt, George Harris, Eddie Tagoe, Tony Vogel, Ted Grossman, Terry Leonard, Martin Grace, Vic Armstrong, Wendy Leach, Sergio Mioni, Rocky Taylor, Chuck Waters, Bill Weston, Paul Weston, Reg Harding, Billy Horrigan, Peter Brace, Gerry Crampton, Romo Garrara",Paramount Pictures,8
The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",Nominee,1985,154,Drama,7.8,"82,027",PG-13,Steven Spielberg,"Whoopi Goldberg, Danny Glover, Margaret Avery, Oprah Winfrey, Willard E. Pugh, Akosua Busia, Desreta Jackson, Adolph Caesar, Rae Dawn Chong, Dana Ivey, Leonard Jackson, Reuben Cannon, Bennet Guillory, John Patton Jr., Carl Anderson (II), Susan Beaubian, James Tillis, Phillip Strong, Laurence Fishburne, Job Seda, Peto Kinsaka, Lelo Masamba, Margaret Freeman, Howard Starr, Daphaine Oliver, Jadili Johnson, Lillian Njoki Distefano, Donna Buie, Leon Rippy, John Hart, David Thomas, Carrie Murray, Juliet Poe, Katie Simon, Ethel Taylor, Marcus Covington, Marcus Liles, April Myers, Maurice Moore, Lechanda Lathrap, Drew Bundini Brown, Arnold Turner, Jeris Poindexter, Saunders Sonny Terry, Greg Phillinganes, Hawthorne James, Roy Gaines, Paulinho da Costa, Nana Yaw Asiedu, Clarence Avant, Bayo Martin, Ndugu Chancler, Jeffrey Kwashi, Pete Munzhi, Aniijia Rae Shockley",Warner Brothers Pictures,8
Schindler's List,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",Winner,1993,195,"Biography,Drama,History",8.9,"1,261,563",R,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Jonathan Sagalle, Embeth Davidtz, Lucky Englander, Shmulik Levy, Fritz Fleischhacker, Mark Ivanir, Juliet Taylor, Beatrice Macola, Andrzej Seweryn, Malgoscha Gebel, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Frederick von Thun, Norbert Weisser, Elina Löwensohn, Adi Nitzan, Michael Schneider, Anna Mucha, Branko Lustig, Jacek Wojcicki, Beata Paluch, Ezra Dagan, Rami Heuberger, Leopold Kozlowski, Jerzy Nowak, Adam Siemion, Henryk Bista, Tadeusz Bradecki, Wojciech Klata, Vili Matula, Geno Lechner, August Schmölzer, Eugeniusz Priwieziencew, Erwin Leder, Jochen Nickel, Olaf Lubaszenko, Martin Semmelrogge, Tadeusz Huk, Osman Ragheb, Agnieszka Kruk, Jeremy Flynn, Maciej Kozlowski, Martin Bergman (II), Peter Flechtner, Maciej Winkler, Bettina Kupfer, Ludger Pistor, Hans Michael Rehberg, Haymon Maria Buttinger, Thomas Morris, Georges Kern, David Gilbert",Universal Pictures,8
Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",Nominee,1998,169,"Drama,War",8.6,"1,287,001",R,Steven Spielberg,"Tom Hanks, Tom Sizemore, Matt Damon, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter, Gary Sefton, Julian Spencer, Steve Griffin, William Marsh, Marc Cass, Markus Napier, Neil Finnighan, Peter Miles, Paul Garcia, Seamus McQuade, Ronald Longridge, Adam Shaw, Rolf Saxon, Corey Johnson, Loclann Aiken, John Barnett, MacLean Burke, Victor Burke, Aiden Condron, Paschal Friel, Shane Hagan, Paul Hickey, Shane Mikael Johnson, Laird Macintosh, Brian Maynard, Martin McDougall, Mark Phillips, Lee Rosen, Andrew Scott, Matthew Sharp, Vincent Walsh, Grahame Wood, John Sharian, Glenn Wrage, Crofton Hardester, Martin Hub, Raph Taylor, Nigel Whitmey, Sam Ellis, Erich Redman, Tilo Keiner, Stephan Cornicard, Michelle Evans, Martin Beaton, Anna Maguire, Nathan Fillion, Leland Orser, Michael Mantas, David Vegh, Ryan Hurst, Nick Brooks, Sam Scudder, Richard John Walters, Dorothy Grumbar, James Innes-Smith, Harve Presnell, Dale Dye, Bryan Cranston, David Wohl, Eric Loren, Valerie Colgan, Amanda Boxer, Harrison Young, Kathleen Byron, Rob Freeman, Thomas Gizbert, Ed Burns",Dreamworks,8
Munich,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel",Nominee,2005,164,"Action,Drama,History",7.5,"218,462",R,Steven Spielberg,"Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz, Geoffrey Rush, Hanns Zischler, Ayelet Zurer, Gila Almagor, Michael Lonsdale, Mathieu Amalric, Moritz Bleibtreu, Valeria Bruni Tedeschi, Meret Becker, Omar Metwally, Marie-Josée Croze, Yvan Attal, Mostafa Djadjam, Ami Weinberg, Lynn Cohen, Amos Lavi, Moshe Ivgy, Mosko Alkalai, Michael Warshaviak, Ohad Shachar, Guy Amir, Rafael Tabor, Brian Goodman, Arthur Chazal, Sharon Alexander, Hicham Nazzal, Schmuel Calderon, Richard Brake, Lili Bordán, Guy Zo-Aretz, Oded Teomi, Alon Aboutboul, Ossie Beck, Makram Khoury, Igal Naor, Hiam Abbass, Mouna Soualen, Mostefa Djadjam, Assi Cohen, Lisa Werlinder, Djemal Barek, Derar Suleiman, Ziad Adwan, Bijan Daneshmand, Rim Turki, Jonathan Rozen, Charley H. Gilleran",Universal Pictures,8
War Horse,Steven Spielberg and Kathleen Kennedy,Nominee,2011,146,"Action,Adventure,Drama",7.2,"151,533",PG-13,Steven Spielberg,"Peter Mullan, Jeremy Irvine, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston, Benedict Cumberbatch, Celine Buckens, Toby Kebbell, David Kross, Matt Milne, Robert Emms, Eddie Marsan, Nicolas Bro, Rainer Bock, Hinnerk Schonemann, Gary Lydon, Geoff Bell, Liam Cunningham, Jean-Claude Lecas, Justin Brett, Sebastian Hülk, Gerard McSorley, Tony Pitts, Ifran Hussain, Seamus O'Neill, Philippe Nahon, Pat Laffan, Michael Ryan, Peter McNeil O'Connor, Gunnar Atli Cauthery, Julian Wadham, Anian Zollner, Michael Kranz, Hannes Wegener, David Dencik, Edward Bennett, Johnny Harris, Philip Hill-Pearson, Tam Dean Burn, Thomas Arnold, Maximiilian Brueckner, Markus Tomczyk, Peter Benedict, Callum Armstrong, Roy Holder, Paul Alexander, Maggie Ollerenshaw, Beth Ogden, Martin D. Dew",Walt Disney Pictures,8
Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",Nominee,2015,142,"Drama,History,Thriller",7.6,"298,091",PG-13,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Noah Schnapp, Scott Shepherd, Sebastian Koch, Domenick Lombardozzi, Dakin Matthews, Peter McRobbie, Eve Hewson, Michael Gaston, Billy Magnussen, Marko Caka, Edward James Hyland, Austin Stowell, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Joshua Harto, Henny Russell, Rebekah Brockman, Jesse Plemons, John Rue, Jillian Lebling, Joel Brady, Michael Pemberton, Geoffrey Rude, Michael Kempen, Stephen Kunken, Jon Curry, Wes McGee, Jim Ferris, Lucia Ryan, Nolan Lyons, Hayley Feinstein, Andy Schneeflock, Victoria Leigh, Sawyer Barth, Ashlie Atkinson, Hayley Rawson, Laurie Dawn, James Lorinz, Patricia Squire, Mario Corry, Donavon Dietz, Le Chance DuRand, Mike Houston, Joe Starr, Hamilton Clancy, Jonathan Walker, Greg Nutcher, John Taylor, Tracy Howe, Steven Boyer, John Henry Cox, Mark Zak, Victor Schefe, Will Rogers (IV), Daniela Schulz, Moritz Berg, Emma Nazahn, Matthias Scherwenikas, Greta Galisch DePalma, Matilda Palma Galisch, Nadja Bobyleva, Kai Wido Meyer, Kristoffer Fuss, Thomas Hacikoglu, David Wilson Barnes, Joe Forbrich, Henning Bormann, Ketel Weber, Maik Rogge, Tim Morten Uhlenbrock, Mathias Gartner, Rafael Gareisen, Nico Ehrenteit, Radik Golovkov, Petra Marie Cammin, Lucy Dreznin, Michael Schenk, Mikhail Gorevoy, Wanja Götz, Stefan Langel, Vladimir Vilanov, Ivan Shvedov, Merab Ninidze, Konstantin Frolov, Steve Cirbus, Michael Kranz, Max Kidd, Frederic Heidorn, Nils Malten, Nina Gummich, Burghart Klaussner, Maximilian Mauff, Jon Donahue, Martin D. Dew",Dreamworks,8
Rocky,Irwin Winkler and Robert Chartoff,Winner,1976,120,"Drama,Sport",8.1,"537,813",PG,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin, Al Silvani, James Gambina, George Memmoli, Jodi Letizia, Diana Lewis, George O'Hanlon, Larry Carroll, Stan Shaw, Don Sherman, Billy Sands, Pedro Lovell, DeForest Covan, Simmy Bow, Tony Burton, Hank Rolike, Shirley O'Hara, Kathleen Parker, Frank Stallone, Shirley O'Hara Krims, Lloyd Kaufman, Jane Marla Robbins, Jack Hollander, Joe Sorbello, Chris Avildsen, Frankie Van, Lou Filippo, Robert L. Tangrea, Peter Glassberg, William E. Ring, Joseph C. Giambelluca, Joe Frazier",United Artists,1
All the President's Men,Walter Coblenz,Nominee,1976,138,"Biography,Drama,History",8.0,"109,033",PG,Alan J. Pakula,"Robert Redford, Dustin Hoffman, Jason Robards, Jack Warden, Martin Balsam, Hal Holbrook, Meredith Baxter, Ned Beatty, Stephen Collins, Jane Alexander, Penny Fuller, John McMartin, Robert Walden, Frank Wills, F. Murray Abraham, David Arkin, Henry Calvert, John Randolph, Dominic Chianese, Bryan Clark, Nicolas Coster, Lindsay Crouse, Valerie Curtin, Cara Duff-MacCormick, Gene Dynarski, Nate Esformes, Ron Hale, Richard Herd, Polly Holliday, James Karen, Paul Lambert, Frank Latimore, Gene Lindsey, Anthony Mannino, Allyn Ann McLerie, James Murtaugh, John O'Leary, Jess Osuna, Neva Patterson, George Pentecost, Penny Peyser, Joshua Shelley, Sloane Shelton, Lelan Smith, Stanley Clay, John Devlin, Jaye Tyrone Stewart, Ralph Vaughan Williams, John Furlong, Basil Hoffman, George Wyner, Jamie Smith Jackson, Jeff Mackay, Christopher Murray, Louis Quinn, Richard Venture, Wendell Wright, David Gilbert",Warner Brothers Pictures,1
Taxi Driver,Michael Phillips and Julia Phillips,Nominee,1976,114,"Crime,Drama",8.2,"758,393",R,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Peter Boyle, Leonard Harris, Harvey Keitel, Steven Prince, Albert Brooks, Martin Scorsese, Frank Adu, Victor Argo, Diahnne Abbott, Gino Ardito, Garth Avery, Harry Cohn, Copper Cunningham, Brenda Dickson, Beau Kayser, Harry Fischler, Nat Grant, Richard Higgs, Vic Magnotta, Bob Maroff, Norman Matlock, Bill Minkin, Murray Moston, Harry Northrup, Gene Palma, Carey Poe, Robin Utt, Peter Savage, Jason Holt, Robert Shields, Ralph S. Singleton, Joe Spinell, Maria Turner, Debbie Morgan, Jack Hayes",Columbia Pictures,8
Raging Bull,Irwin Winkler and Robert Chartoff,Nominee,1980,129,"Biography,Drama,Sport",8.2,"334,550",R,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Frank Adonis, Mario Gallo, Lori Anne Flax, Johnny Barnes, Frank Topham, Joseph Bono, James V. Christy, Bill Mazer, Bill Hanrahan, Rita Bennett, Mike Miles, Cis Corman, Kevin Mahon, Ed Gregory, Louis Raftis, Johnny Turner, Martin Scorsese, Don Dunphy, Charles Scorsese, Bernie Allen, Vic Magnotta, Kenny Davis, Jimmy Lennon Sr., Marty Denkin, Shay Duffin, Jack Lotz, Kevin Breslin, Coley Wallace, Peter Fain, Count Billy Varga, Harvey Parry, Ted Husing, Michael Badalucco, Paul Forrest, Peter Petrella, Geraldine Smith, Mardik Martin, Peter Savage, Daniel P. Conte, John Arceri, Robert Uricola, Allan Malamud, Richard McMurray, Mary Albee, Candy Moore, Noah Young, Lou Tiano, Bob Aaron, John Turturro, Wally K. Berns",United Artists,8
